Row Labels,ACMGLA,ACMMAR,ADEFAS,AMSMEN,ANAARV,BLOCRO,BRANIG,BRATOU,CALCAT,CALCIL,CALEXS,CALMAC,CALSPL,CALWED,CAMCAL,CAMMIC,CASEXS,Castilleja,CEACRA,CENMEL,CHAGLA,CLAPAR,CLAPUR,CRY,DEIFAS,DICCAP,EMMPEN,ENCCAL,ENCFAR,ERICAL,ERICON,ERIFAS,ERIFOL,EROBOT,EROBRA,EROCIC,EROMOS,ESCCAL,EUCCHR,FOEVUL,GILANG,HESWHI,HIRINC,HYPGLA,KECANT,LASCAL,LUPBIC,LUPSUC,LUPTRE,LUPTRU,MALFAS,MALSAX,MARMAC,MED,MEDPOL,MELIND,MICLIN,MIRLAE,OSMTEN,PHACIC,PHACRY,PHAPAR,PHOAUR,PSECAL,RAFCAL,ROMCOU,SALAPI,SALCOL,SALMAC,SALMEL,SANARG,SCRCAL,SILGAL,SILMAR,SISBEL,SOLXAN,SONASP,SONOLE,TRILAN,unk yellow succ,unknown white,Grand Total
IRC08_2022_2,,,,,,,257,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,3,,,,0,,0,,,,,,,,537,,,,,,,,,,,,851
IRC08_2022_3,217,,,,,,73,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,194,,,,,,,,,,,,499
IRC13_2021_1,21,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,109
IRC13_2022_1,,49,,,,,0,,,,,,,,0,,,,,,5,,,229,,,,0,19,,,,,,,137,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,439
IRC13_2022_2,198,96,,,,,422,,,,,,,,8,,,,,,,,,233,,,,,8,,,,,,,22,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,988
IRC13_2022_3,,166,,,,,63,,,,,,,,,,,,,,,,,,,,,5,,,,0,,,,7,,,,,,8,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259
IRC23_2021_1,,,,,,,,1,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,1,,129,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
IRC23_2021_2,,,,,,,,3,,,,1,,,,3,,,,,,,,179,,17,,,,,,,,,,145,,,,,0,,,,,,0,,,,,,,,1,,,28,,,,118,,,,,,,,,,,,,,,,1,,,,496
IRC23_2021_3,,,,,,,0,,0,,,1,0,,,,,,,,,,,0,,,,28,,,,,,,,9,,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,38
IRC23_2022_1,,,,,,,0,,,,,8,,,,,,,,,,,,141,,9,,21,,,,,,,,62,,,,,,,,,,,5,,,,,,,,,,,0,,,,8,,,,,,,,,,,,,,,,,,,,254
